    ,InsuranceType,DateFrom,DateTo,Status,InsurancePolicyNo,ChassisNumber
BAA 5801T,,01-01-17,31-03-17,,,LA93NAFZ33
BAA 4620T,,01-01-17,31-03-17,,,LA93NAFZ20
BAA 2189T,,01-01-17,31-03-17,,,LA93NAFZ10
BAA 6187T,,01-01-17,31-03-17,,,LA93NAFZ23
BAA 719T,,01-01-17,31-03-17,,,LA93NAFZ21
BAA 725T,,01-01-17,31-03-17,,,LA93NAFZ26
BAA 65T,,01-01-17,31-03-17,,,LA93NAFZ18
BAA 497T,,01-01-17,31-03-17,,,LA93NAFZ24
BAA 498T,,01-01-17,31-03-17,,,LA93NAFZ14
BAA 528T,,01-01-17,31-03-17,,,LA93NAFZ13
BAA 1714T,,01-01-17,31-03-17,,,LA93NAFZ22
BAA 1711T,,01-01-17,31-03-17,,,LA93NAFZ31
BAA 496T,,01-01-17,31-03-17,,,LA93NAFZ17
BAA 1713T,,01-01-17,31-03-17,,,LA93NAFZ11
BAA 64T,,01-01-17,31-03-17,,,LA93NAFZ12
BAA 1709T,,01-01-17,31-03-17,,,LA93NAFZ32
BAA 373T,,01-01-17,31-03-17,,,LA93NAFZ27
BAA 4621T,,01-01-17,31-03-17,,,LA93NAFZ30
,,,,,,
TBA 1234,,22-12-16,31-03-17,,611907,JNITANY62Z0025274
ALP8745,,01-01-17,31-12-17,,611908,SCP10-5036800
BAC88,,01-01-20,31-12-20,,611909,WDD2120562A054808
BAE 3767,,01-01-20,31-12-20,,,ZCFC50AY30D529754
ALB8,,01-01-20,31-12-20,,611913,TRJ150-0006233
ALE8889,,01-01-20,31-12-20,,611914,LCWFF3A509B614351
ALP8,,01-01-20,31-12-20,,611915,LKLSAAS39DB617965
ALX8889,,01-01-18,31-12-18,,611916,WBAFA72010LN30812
ALL8,,01-01-20,31-12-20,,611917,LKLSAAS38CB612397
ABT8886,,01-01-20,31-12-20,,611918,LGWFF3A529B614352
ALB9888,,01-01-18,31-12-18,,611919,LKLSAAS28BB500947
11CD15Z,,13-09-19,30-06-20,,1569939,V73W-0403075
BAC2680,,24-12-16,31-12-17,,611923,LVBV3JBB6EJ069670
ALJ 7487,,02-01-20,31-12-20,,611925,LVAV2MBB4CJ050265
BAE3302,,28-12-16,31-12-17,,611926,AHTEZ39G007007196
,,,,,,
,,,,,,
ALX 9547,,01-01-17,31-12-17,,,6FPGXXMJ2GD53782
BAC 8561,,01-01-17,31-12-17,,,ADNCPUD22Z0045648
BAB 8109,,01-01-17,31-12-17,,,LGAX5DF59E3812782
BAC 2513,,01-01-20,31-12-20,,1570653,V93W-0003652
ALM 9149,,29-05-18,31-12-18,,,FB4JGA-50731
ABZ 6864,,01-01-18,31-12-18,,,GX100-0065960
ALZ 5408,,01-01-17,31-12-17,,,TBA
ALK 8246,,01-01-20,31-12-20,,1570801,AE111-6144312
ALH 7039,,01-01-17,31-12-17,,,TBA
BAC  2816,,01-10-18,31-03-19,,,TBA
AAA  2695,,01-01-17,31-12-17,,,ADX492051GAA03526
BAE 3603,,01-01-20,31-12-20,,1570658,JNITANY62Z0025274
ALZ 5731,,03-01-20,31-12-20,,1110312,LVBV3JBB0EJ047549
GRZ355CN,,01-01-17,31-12-17,,612021,JTEBH3FJ00K058077
ACR 4577,,30-12-16,31-12-17,,611949,KZJ95D121285
BAD 772,,28-08-18,30-06-19,,,LZZ5CLSB1GW140613
,,01-01-17,31-03-17,,,
BAD 1859,,28-08-18,30-06-19,,,LZZ5CLSB3GW140614
BAD 1865,,01-07-19,30-06-20,,1355411,LZZ5CLSB8GW140608
BAD 1858,,28-08-18,30-06-19,,,LZZ5CLSB5GW140615
BAD 1886T,,28-08-18,30-06-19,,,LA0940L36G9WM8026
BAD 1861,,01-07-19,30-06-20,,1355414,LZZ5CLSBXGW140612
BAD 1862,,01-07-19,30-06-20,,1355413,LZZ5CLSB8GW140611
BAD 1863,,01-07-19,30-06-20,,1355412,LZZ5CLSB6GW140610
BAD 1864,,28-08-18,30-06-19,,,LZZ5CLSBXGW140609
BAD 1867,,01-07-19,30-06-20,,1355410,LZZ5CLSB6GW140607
BAD 1910,,01-07-19,30-06-20,,1355409,LZZ5CLSB4GW140606
BAD 1924T,,28-08-18,30-06-19,,,LA0940L36G9WM8029
BAD 1927T,,28-08-18,30-06-19,,,LA0940L36G9WM8031
BAD 1928T,,28-08-18,30-06-19,,,LA0940L36G9WM8032
BAD 1931T,,28-08-18,30-06-19,,,LA0940L36G9WM8034
BAD 1932T,,01-07-19,30-06-20,,1355403,LA0940L36G9WM8027
BAD 1935T,,01-07-19,30-06-20,,1355402,LA0940L36G9WM8028
BAD 1936T,,01-07-19,30-06-20,,1355401,LA0940L36G9WM8025
BAD 1886 T,,01-07-19,30-06-20,,1355408,LA0940L36G9WM8026
BAD 1886 T,,01-01-17,31-03-17,,,LA0940L36G9WM8026
BAD 1924T,,01-07-18,30-06-19,,,LA0940L36G9WM8029
BAD1925T,,01-01-17,31-03-17,,,LA0940L36G9WM8030
BAD 1925T,,28-08-18,30-06-19,,,LA0940L36G9WM8030
BAD 1925 T,,01-07-19,30-06-20,,1355418,LA0940L36G9WM8030
BAD 1924 T,,01-07-19,30-06-20,,1355417,LA0940L36G9WM8029
BAD 1927 T,,01-07-19,30-06-20,,1355407,LA0940L36G9WM8031
BAD 1928 T,,01-07-19,30-06-20,,1355406,LA0940L36G9WM8032
BAD 1930 T,,01-07-19,30-06-20,,1355405,LA0940L36G9WM8033
ALK 8112,,01-01-17,31-12-17,,,XLRTG47X50E695593
AJC7931T,,01-01-17,31-03-17,,,AA9H236HABAKA1306
BAC1257,,01-01-20,31-12-20,,1570651,WBAVA76010NK73614
BAE3037,,03-01-17,31-12-17,,611987,LVCB2NBA6FS045588
ALR 2980,,01-01-20,31-12-20,,1355113,AHTER39G908602140
ALH  4570,,01-01-18,31-12-18,,,JN1TANZ51Z0130489
ALZ 1917,,01-01-18,31-12-18,,,ADMTFR77D5D308363
BAA  3679,,06-01-17,31-12-17,,,LGAX5DF53E3812308
